sample_id,cancer_type,n_nodes,n_interface,n_tumor_core,ks_alpha,ks_interface_mean,ks_tumor_core_mean,ks_interface_vs_tumor_ratio,ks_log2_interface_vs_tumor_ratio,ks_mwu_p_interface_gt_tumor,ks_interface_p95,ks_tumor_core_p95,ks_global_mean,ks_global_p95,interface_vs_tumor_enrichment,coexact_fraction,spatial_score
Breast6,Breast,3987,913,595,0.25,8.806190969524318,2.1805300779437102,4.038555147024029,2.013839239745745,2.411623861338485e-70,30.334365413762,5.9758463901486705,4.771946794453513,17.933228196812156,4.185857609551294,0.1958450636421222,0.2008523906050747
Breast7,Breast,4490,1490,211,0.25,11.457798052462088,8.229925221933012,1.392211684004771,0.4773785878006424,2.1033071979119422e-05,34.069997137160826,22.844892630224216,10.328194049386491,30.963626792910347,1.392441886256046,0.3127908086860907,0.2506880626462545
Breast8,Breast,4738,1225,489,0.25,8.343200267623452,3.292993544862963,2.533621810658034,1.3412011919586067,1.2434756576617545e-39,27.28835222870593,10.375188645742172,7.7233330510893,24.889875177764846,2.4033131045460703,0.2564333456075334,0.1016170399077781
Breast9,Breast,4865,1409,411,0.25,10.063951720855489,3.84074401742024,2.620313063095688,1.3897391887074526,7.169392619294738e-44,30.466563956505524,10.523756602560747,7.908234856791845,25.017114446597372,2.768104672340137,0.3322115246383193,0.0476202181207938
Colorectal5,Colorectal,4882,598,898,0.25,8.538790624008975,3.2776440317072333,2.605161067341029,1.3813725716869432,1.4087345275570434e-51,28.026864997976812,11.422205891014201,7.293267640958391,22.854440679815387,2.494277529741554,0.2217444902531082,0.0529608812165038
Colorectal6,Colorectal,4763,420,991,0.25,9.286797403422034,2.1915607233396788,4.237526847654861,2.0832225087462724,2.3198756796928344e-76,27.578891889859793,6.623759564712623,6.186598413042321,22.316668130872433,4.173798861555282,0.1187503079301827,0.0359175740510506
Colorectal7,Colorectal,4773,1167,564,0.25,11.287736004207256,7.042567995413179,1.6027869395875696,0.6805826590368448,4.6197092582911206e-18,32.668010987517896,20.932921898849138,9.646416638022673,27.996409119611357,1.6528166373748294,0.2660803793086153,0.063939285363973
Colorectal8,Colorectal,4547,795,632,0.25,8.342464336386318,4.346849267465745,1.9191979806670716,0.9405035447772847,6.385321012073041e-31,24.428747828738956,12.296849407309201,7.53089504045041,23.11789837473926,2.2148267841049485,0.1334763222605683,0.1370295633572587
Glioblstoma2,Glioblastoma,3500,1162,168,0.25,9.882432587661391,8.770779840837642,1.1267450291759296,0.17216108537822275,0.25000460507994643,35.63582997336359,25.03678859556205,6.975610058503302,23.92370603934696,1.1819468699960332,0.4048333747893385,0.2816421451398088
Glioblstoma3,Glioblastoma,4402,1511,249,0.25,11.456152318541882,8.593115023812931,1.3331780485648885,0.41486946807095765,1.7370151059694418e-05,34.100286882247076,23.232783874463337,9.649635909281644,27.60198318072801,1.4337869299704535,0.3702200942882606,0.1106204938472647
Glioblstoma4,Glioblastoma,4861,1672,268,0.25,13.341912252075126,10.14532295497465,1.3150800926974677,0.3951506670614197,0.001839155772342399,39.7721028725883,29.070961109091645,8.698727390956638,27.079254926574624,1.3939677382400002,0.3934940130924595,0.2258070602180956
Glioblstoma5,Glioblastoma,4434,1450,278,0.25,11.938088482392837,8.814185717670602,1.3544176245864785,0.4376726517805665,2.5779079253504735e-09,33.3119181209798,26.452743918211773,9.1852706513934,26.915059345169443,1.3040294172284037,0.3070665815953842,0.2251506379873896
Lung1,Lung,4948,1736,227,0.25,15.10348890280862,11.719330781231605,1.2887671817400548,0.36599166161656665,0.0006593490030059971,41.033552613167885,31.367810286520374,11.495062215808975,33.070732450407185,1.4288574194104249,0.5441935425138161,0.1305484638067678
Lung2,Lung,4708,1270,406,0.25,7.282195632029038,7.150635160725609,1.0183984315162655,0.026302102391966297,0.6398525073611883,23.26030789573806,20.73292842069536,8.942327743312292,27.111691255666255,1.0911586622701803,0.1992540220907067,0.2561711453402058
Lung3,Lung,4949,1502,331,0.25,10.05553688872501,6.716344770671936,1.4971740183191202,0.5822419173059248,1.0680504443409795e-09,28.506515398807544,18.983056187790986,9.939379049364554,28.78681801026911,1.4390760577267472,0.2972896141385209,0.0730173854161011
Lung4,Lung,4829,775,806,0.25,8.682057401317072,4.913112139514409,1.7671197307890885,0.8213997926711708,6.584115773387333e-29,24.546108991722527,15.511658272617373,7.926580045715373,24.982115249593065,1.7334540014058049,0.121044582518577,0.0387537163028226
Lung5,Lung,4082,939,470,0.25,9.765673188253638,5.033610642322227,1.940093082715345,0.9561258723875049,4.249835272187271e-24,29.59671706955115,13.610646757273553,8.815815393273054,26.996715109402956,1.8569792301124537,0.2318433468128019,0.0960400466235044
Lung6,Lung,4966,1375,382,0.25,10.63846909408202,7.439097650833352,1.4300752044690304,0.516091017117724,2.748062271013579e-09,31.43338791217697,19.614998840580775,9.607351249850565,26.727588134092308,1.4009579309185327,0.2127945061532201,0.1628086960714343
Lung7,Lung,4701,983,605,0.25,9.380084276992932,5.896627215239301,1.5907541607428328,0.6697108950780063,3.447596494098313e-21,27.36412543699816,17.24570032704357,9.241169861285602,27.708484310564437,1.5733243907892664,0.1957094126719342,0.0850115066437996
Ovarian1,Ovarian,2826,759,259,0.25,13.175544334750876,7.476133701932253,1.7623473388850461,0.8174982912867975,8.492046442421873e-17,36.37425362110413,23.756901497769203,10.95337026845945,30.23792683395549,1.671650804913399,0.3220093101524749,0.0967099499037777
Ovarian2,Ovarian,3821,1027,338,0.25,8.71287848741427,4.887412797900809,1.782717942538996,0.8340784611859645,5.249405372259853e-14,25.119270107579908,14.569107796976729,8.814582312323543,26.531235575100027,1.49875554536554,0.1752434798945974,0.1549760603578961
Prostate5,Prostate,4932,1209,596,0.25,9.356759075389858,4.006119058461689,2.335616824873005,1.2238036088936848,1.7275299701164905e-47,26.74433913623663,11.457498263969173,7.081364853952743,23.184942684875054,2.2963785413304287,0.225051668616324,0.0916184340456548
Prostate6,Prostate,4942,1410,422,0.25,9.962322546097287,4.551190843779251,2.1889485385373364,1.1302380376306687,8.655159474300621e-37,29.599129970376797,14.744401018534674,9.101609286461986,27.52204168583637,2.17862688933545,0.2824015190043675,0.0988564726948614
Prostate7,Prostate,4729,1072,479,0.25,8.984869359891025,3.925963603876347,2.2885768352557876,1.1944507288986403,1.8816390229145636e-34,28.14389892570515,11.823127835015253,9.002671599625415,27.992116447987694,2.374228379987368,0.2286870839945051,0.1096549433906482
Prostate8,Prostate,4948,1424,443,0.25,7.899052076855932,2.7543813777201613,2.8678134918960336,1.5199512014928642,4.926932644267145e-41,26.439480194715987,7.227806732750283,6.721787325403631,22.93978246027118,2.61901552588783,0.2488863786940587,0.0830047566111655
Prostate9,Prostate,4903,1564,308,0.25,8.448690494822603,3.4865894648853657,2.4231962437533383,1.2769112468968027,1.791559788475549e-30,28.107818510402836,11.205676570573312,7.783166538907888,26.198064586158225,2.293065612123911,0.2756772119753132,0.1090376648901961
